timestamp,ear_norm,mouth_norm,jaw_norm,stress_flag,flat_affect_flag,arousal_flag
1768819402.62,0.825,0.378,1.16,0.0,0.5,0.033
1768819402.82,1.358,0.516,1.135,0.0,0.5,0.038
1768819403.12,1.312,1.174,1.243,0.756,0.5,0.045
1768819403.42,0.806,1.062,1.23,0.873,0.5,0.048
1768819403.72,0.699,1.639,1.309,0.75,0.5,0.046
1768819403.94,0.642,2.737,1.426,0.681,0.5,0.043
1768819406.02,0.858,6.249,1.353,0.0,0.5,0.041
1768819407.32,0.66,0.633,0.878,0.0,0.5,0.04
1768819407.62,0.908,0.817,1.056,0.0,0.5,0.038
1768819407.82,0.805,0.352,1.011,0.0,0.5,0.038
1768819408.12,1.195,0.205,1.167,0.0,0.5,0.042
1768819408.42,1.068,0.394,1.083,1.0,0.5,0.044
1768819408.62,0.696,0.102,1.12,0.958,0.5,0.044
1768819408.92,0.754,0.025,1.135,0.674,0.5,0.042
1768819409.12,0.808,0.125,1.143,0.855,0.5,0.04
1768819409.42,0.844,0.14,1.107,0.0,0.5,0.038
1768819409.72,0.788,0.259,1.128,0.0,0.5,0.038
1768819409.92,0.514,0.352,1.153,0.268,0.5,0.038
1768819410.12,0.756,0.035,1.129,0.013,0.5,0.037
1768819410.42,0.791,0.267,1.124,0.272,0.5,0.036
1768819410.64,0.858,0.375,1.133,0.87,0.5,0.035
1768819410.92,1.022,0.505,1.06,0.0,0.5,0.033
1768819411.12,0.962,0.244,1.076,0.973,0.5,0.032
1768819411.42,0.783,0.271,1.108,0.284,0.5,0.032
1768819418.12,0.748,0.454,1.108,0.0,0.5,0.029
1768819418.42,0.603,0.356,1.248,0.671,0.5,0.029
1768819418.72,0.734,0.225,1.09,0.377,0.5,0.032
1768819419.02,0.793,0.235,1.081,0.402,0.5,0.034
1768819419.22,0.863,0.106,1.054,0.01,0.5,0.038
1768819419.52,0.751,0.232,1.074,0.323,0.5,0.038
1768819419.82,0.771,0.184,1.024,0.0,0.5,0.038
1768819420.02,0.888,0.153,0.976,0.648,0.5,0.039
1768819420.22,0.68,0.318,0.999,0.0,0.5,0.04
1768819421.02,0.763,0.185,1.075,0.961,0.5,0.038
1768819421.32,0.781,0.241,1.09,0.5,0.5,0.038
1768819421.52,0.758,0.233,1.109,0.0,0.5,0.038
1768819421.82,0.653,1.658,0.872,0.223,0.5,0.037
1768819440.12,0.97,5.388,0.992,0.626,0.5,0.039
1768819440.42,0.823,0.101,1.209,0.071,0.5,0.041
1768819440.62,0.831,0.572,1.189,0.025,0.5,0.042
1768819440.82,0.792,0.096,1.211,1.0,0.5,0.042
1768819441.12,0.673,0.145,1.187,0.304,0.5,0.043
1768819441.42,0.827,0.182,1.102,0.479,0.5,0.041
1768819441.64,0.795,0.296,1.129,0.0,0.5,0.04
1768819441.92,0.83,0.142,1.097,0.0,0.5,0.038
1768819442.22,0.81,4.132,1.124,0.0,0.5,0.037
1768819442.52,0.818,2.025,1.091,0.271,0.5,0.037
1768819442.82,0.798,5.313,1.139,1.0,0.5,0.037
1768819443.02,0.813,0.264,1.069,0.793,0.5,0.037
1768819443.32,0.952,0.119,0.954,0.0,0.5,0.037
1768819443.72,0.808,0.423,0.93,0.956,0.5,0.037
1768819444.02,0.847,1.978,1.221,0.0,0.5,0.038
1768819444.22,1.379,1.3,0.907,0.0,0.5,0.038
1768819444.42,0.913,0.252,1.038,0.561,0.5,0.039
1768819444.72,0.792,0.189,1.045,0.209,0.5,0.039
1768819445.02,0.832,0.114,1.107,0.76,0.5,0.04
1768819445.32,0.892,3.11,1.183,0.001,0.5,0.042
1768819445.52,0.845,0.354,1.214,0.0,0.5,0.043
1768819445.82,0.847,0.444,1.193,0.317,0.5,0.044
1768819446.04,0.807,0.372,1.167,0.0,0.5,0.044
1768819446.32,0.919,0.346,1.323,0.0,0.5,0.043
1768819446.52,0.875,0.352,1.205,0.0,0.5,0.042
1768819446.82,0.518,0.217,1.147,0.551,0.5,0.043
1768819447.12,0.848,0.094,1.162,0.163,0.5,0.044
1768819447.32,0.825,0.304,1.16,0.017,0.5,0.044
1768819447.62,0.936,0.286,1.168,0.104,0.5,0.043
1768819447.82,0.943,0.19,1.208,0.0,0.5,0.042
1768819448.12,0.948,0.264,1.17,0.211,0.5,0.04
1768819448.32,1.013,0.2,1.177,1.0,0.5,0.041
1768819448.62,0.837,1.729,1.192,0.28,0.5,0.041
1768819448.82,0.85,0.334,1.187,0.127,0.5,0.041
1768819449.12,0.889,0.127,1.22,0.111,0.5,0.042
1768819449.34,0.923,0.237,1.189,0.714,0.5,0.041
1768819449.62,0.885,0.233,1.175,0.0,0.5,0.041
1768819449.92,0.989,0.222,1.179,0.0,0.5,0.041
1768819450.22,0.91,0.265,1.171,0.878,0.5,0.041
1768819450.52,0.457,0.323,1.186,0.357,0.5,0.042
1768819450.72,0.814,0.181,1.186,0.177,0.5,0.042
1768819451.02,0.849,0.153,1.19,0.378,0.5,0.043
1768819451.22,0.464,0.375,1.205,0.063,0.5,0.044
1768819451.52,0.86,0.275,1.179,0.0,0.5,0.044
1768819451.82,0.897,0.302,1.137,0.035,0.5,0.043
1768819452.12,0.823,0.176,1.142,0.0,0.5,0.043
1768819452.32,0.903,0.127,1.156,1.0,0.5,0.044
1768819452.62,0.915,0.964,1.188,0.045,0.5,0.044
1768819452.82,0.912,0.24,1.172,0.0,0.5,0.044
1768819453.02,0.922,0.158,1.198,0.0,0.5,0.043
1768819453.32,0.847,0.323,1.203,1.0,0.5,0.042
1768819453.62,0.734,0.099,1.181,0.783,0.5,0.042
1768819453.85,0.985,0.144,1.172,0.142,0.5,0.041
1768819454.12,0.838,0.174,1.154,0.0,0.5,0.041
1768819454.42,0.94,0.64,1.162,0.0,0.5,0.04
1768819454.72,0.923,1.317,1.214,0.282,0.5,0.04
1768819454.92,0.876,0.138,1.164,0.266,0.5,0.041
1768819455.22,0.937,0.27,1.19,1.0,0.5,0.041
1768819455.52,0.904,0.243,1.21,0.039,0.5,0.04
1768819455.72,0.937,0.198,1.218,0.413,0.5,0.04
1768819456.02,0.822,0.231,1.195,0.126,0.5,0.041
1768819456.32,0.569,0.207,1.2,0.371,0.5,0.043
1768819456.52,0.915,0.207,1.196,0.0,0.5,0.043
1768819456.72,0.784,0.192,1.213,1.0,0.5,0.044
1768819457.02,0.876,0.177,1.216,0.069,0.5,0.043
1768819457.22,0.954,0.268,1.186,0.098,0.5,0.042
1768819457.52,0.925,0.192,1.214,1.0,0.5,0.042
1768819457.82,0.854,0.211,1.196,0.066,0.5,0.042
1768819458.05,0.9,0.169,1.217,0.007,0.5,0.042
1768819458.32,0.906,0.173,1.205,0.069,0.5,0.042
1768819458.62,0.506,0.095,1.212,0.211,0.5,0.042
1768819458.82,0.906,0.14,1.182,0.0,0.5,0.042
1768819459.14,0.965,0.253,1.195,0.0,0.5,0.042
1768819459.42,0.905,0.137,1.198,0.273,0.5,0.042
1768819459.63,0.888,0.193,1.171,0.0,0.5,0.041
1768819459.92,0.845,0.276,1.131,0.573,0.5,0.04
1768819460.22,1.003,1.733,1.162,0.835,0.5,0.041
1768819460.42,0.824,0.373,1.263,0.934,0.5,0.042
1768819460.72,0.832,2.824,1.568,0.532,0.5,0.044
1768819461.02,0.955,0.048,1.475,0.0,0.5,0.045
1768819461.22,0.821,0.701,1.422,1.0,0.5,0.045
1768819461.52,0.877,0.741,1.305,0.0,0.5,0.046
1768819461.82,0.928,0.259,1.55,0.0,0.5,0.052
1768819462.12,0.88,0.196,1.547,0.415,0.5,0.058
1768819462.35,0.789,0.094,1.588,0.424,0.5,0.061
1768819462.62,0.859,0.205,1.544,0.716,0.5,0.063
1768819462.82,0.852,0.184,1.575,0.662,0.5,0.063
1768819463.12,0.742,0.294,1.604,0.013,0.5,0.064
1768819463.42,0.895,0.148,1.616,0.008,0.5,0.063
1768819463.62,0.957,0.236,1.623,0.0,0.5,0.063
1768819463.82,0.909,0.147,1.597,0.0,0.5,0.062
1768819464.12,0.778,0.127,1.585,1.0,0.5,0.06
1768819464.42,0.955,0.268,1.594,0.12,0.5,0.061
1768819464.62,0.956,0.121,1.626,0.039,0.5,0.061
1768819464.92,0.963,0.354,1.613,0.0,0.5,0.061
1768819465.12,0.933,0.25,1.599,0.0,0.5,0.06
1768819465.32,0.538,0.17,1.64,0.914,0.5,0.061
1768819465.62,0.901,0.259,1.633,0.064,0.5,0.061
1768819465.82,0.928,0.279,1.595,0.119,0.5,0.061
1768819466.02,0.918,0.286,1.666,0.186,0.5,0.062
1768819466.32,0.901,0.188,1.651,1.0,0.5,0.061
1768819466.52,0.712,0.089,1.6,1.0,0.5,0.063
1768819466.72,0.826,0.159,1.615,0.189,0.5,0.064
1768819466.95,0.873,0.146,1.653,0.0,0.5,0.063
1768819467.22,0.933,0.212,1.569,0.0,0.5,0.063
1768819467.52,0.802,0.621,1.818,1.0,0.5,0.061
1768819467.72,0.767,0.211,1.614,0.191,0.5,0.06
1768819467.92,0.863,0.058,1.569,0.014,0.5,0.06
1768819468.12,0.905,0.227,1.645,0.0,0.5,0.061
1768819468.42,0.858,0.281,1.622,0.0,0.5,0.06
1768819468.72,0.97,0.199,1.654,0.0,0.5,0.059
1768819469.03,0.941,0.065,1.634,0.431,0.5,0.059
1768819469.32,0.722,0.12,1.669,0.983,0.5,0.061
1768819469.62,0.885,0.165,1.631,0.237,0.5,0.062
1768819469.82,0.928,0.225,1.584,0.245,0.5,0.062
1768819470.12,0.965,0.195,1.609,0.0,0.5,0.062
1768819470.42,0.98,0.415,1.591,0.0,0.5,0.059
1768819470.72,0.997,0.284,1.596,0.089,0.5,0.058
1768819471.02,0.906,0.272,1.593,1.0,0.5,0.056
1768819471.24,0.918,0.23,1.636,1.0,0.5,0.057
1768819471.52,0.905,0.469,1.603,0.206,0.5,0.057
1768819471.82,0.933,0.157,1.669,0.0,0.5,0.057
1768819472.02,0.986,0.495,1.595,0.005,0.5,0.057
1768819472.32,1.026,0.171,1.635,0.0,0.5,0.057
1768819472.62,0.91,0.089,1.636,0.705,0.5,0.058
1768819472.92,0.998,0.338,1.681,1.0,0.5,0.06
1768819473.12,0.74,0.253,1.68,0.485,0.5,0.061
1768819473.42,0.835,0.242,1.682,0.096,0.5,0.062
1768819473.62,0.951,0.864,1.712,0.0,0.5,0.064
1768819473.92,0.911,0.185,1.738,0.0,0.5,0.064
1768819474.12,0.867,0.274,1.702,0.443,0.5,0.064
1768819474.42,0.825,0.677,1.655,0.464,0.5,0.064
1768819474.62,0.881,0.92,1.618,0.673,0.5,0.064
1768819474.82,0.805,5.2,1.598,1.0,0.5,0.065
1768819475.12,0.671,4.795,1.4,0.005,0.5,0.064
1768819475.42,0.98,2.45,1.318,0.0,0.5,0.062
1768819475.64,0.465,0.203,1.371,0.339,0.5,0.062
1768819475.92,0.784,0.272,1.336,0.192,0.5,0.058
1768819476.22,0.812,3.078,1.302,0.175,0.5,0.056
1768819476.42,0.867,8.791,1.404,0.004,0.5,0.056
1768819476.72,0.759,9.056,1.388,0.066,0.5,0.055
1768819477.02,0.829,9.939,1.432,0.15,0.5,0.055
1768819477.22,0.857,8.941,1.409,1.0,0.5,0.056
1768819477.52,0.8,7.844,1.363,0.083,0.5,0.056
