timestamp,AU12Mean,AU12Variance,AU12ActivationFrequency,AU15MeanAmplitude,AU4MeanActivation,AU4DurationRatio,AU1AU2PeakIntensity,AU20ActivationRate,LipCompressionFrequency,BlinkRate,BlinkClusterDensity,BaselineEyeOpenness,GazeShiftFrequency,EyeContactRatio,DownwardGazeFrequency,MeanHeadVelocity,HeadVelocityPeak,HeadMotionEnergy,LandmarkDisplacementMean,PostureRigidityIndex,OverallAUVariance,FacialEmotionalRange,FacialTransitionFrequency,NearZeroAUActivationRatio,MotionEnergyFloorScore,GestureFrequency,MicroMotionEnergy,ShoulderElevationIndex,ResponseLatencyMean,SpeechOnsetDelay,NodOnsetLatency,PauseDurationMean,ExtendedSilenceRatio,ReactionTimeInstabilityIndex
1772743620.315711,0.5643647769043435,0.0008697702264302853,0.9999999999999996,0.09136310213014409,0.7761890860357753,1.0,1.0,0.9999999999999996,0.0,0.0,0.0,0.08876301715438495,5.4461993241152085e-06,1.094891863268311e-209,0.0733333333333333,0.007084185975800137,0.010098282660981003,0.03542092987900068,0.007072121051341064,0.9999917035790884,0.0006125293485130896,0.11265747587256761,0.0,0.0,1.6185531575937785e-285,0.0,0.006864586068181493,0.0,0.4790977135203243,7.142172673922781e-06,9.788829637062045e-53,1.996589309308828e-285,1.6185531575937785e-285,8.047745878596889e-06
1772743620.3517122,0.5686545767930389,0.0008640734004897875,0.9999999999999996,0.09146723836481632,0.7764901560880921,1.0,1.0,0.9999999999999996,0.0,0.0,0.0,0.08886907066940813,3.8123395268806457e-06,7.664243042878176e-210,0.0733333333333333,0.0073019643204477215,0.010675741302239888,0.036509821602238604,0.007902370372473858,0.9999900879415617,0.0006058850276903956,0.11265747587257112,0.0,0.0,1.132987210315645e-285,0.0,0.006861303997816949,0.0,0.4790977135203243,4.9995208717459465e-06,6.8521807459434315e-53,1.3976125165161794e-285,1.132987210315645e-285,8.045680551484309e-06
1772743620.3840146,0.5631743364031045,0.0008589209452128088,0.9999999999999996,0.0898443073836076,0.7795636954904048,1.0,1.0,0.9999999999999996,0.0,0.0,0.0,0.08898420659723215,2.6686376688164517e-06,5.364970130014723e-210,0.0733333333333333,0.00827717896506179,0.01240811623820651,0.041385894825308946,0.00859590322053429,0.9999869721401631,0.0005969867995606623,0.11265747587257358,0.0,0.0,7.930910472209514e-286,0.0,0.006865048767841912,0.0,0.4790977135203243,3.4996646102221622e-06,4.796526522160402e-53,9.783287615613256e-286,7.930910472209514e-286,8.044556222738098e-06
1772743620.415689,0.562941872015919,0.0008492645333185761,0.9999999999999996,0.08959044565434231,0.7752232849522189,1.0,1.0,0.9999999999999996,0.0,0.0,0.0,0.08908393863280092,1.8680463681715161e-06,3.755479091010306e-210,0.0733333333333333,0.008598444621291048,0.012882222688224969,0.042992223106455243,0.008426451805982262,0.9999856950981729,0.0005870950706436665,0.1126574758725753,0.0,0.0,5.551637330546659e-286,0.0,0.006875026986905685,0.0,0.4790977135203243,2.4497652271555136e-06,3.357568565512281e-53,6.848301330929279e-286,5.551637330546659e-286,8.042589846227248e-06
1772743620.4474077,0.5650737268960723,0.0008410553680539213,0.9999999999999996,0.08888658273689329,0.7757274048142156,1.0,1.0,0.9999999999999996,0.0,0.0,0.0,0.08919953176864798,1.3076324577200613e-06,2.628835363707214e-210,0.0733333333333333,0.007826811627353375,0.0120476674107803,0.039134058136766875,0.008039644763905333,0.9999873961904457,0.0005776439481277353,0.1126574758725765,0.0,0.0,3.8861461313826614e-286,0.0,0.0068889872101734265,0.0,0.4790977135203243,1.7148356590088593e-06,2.3502979958585966e-53,4.793810931650495e-286,3.8861461313826614e-286,8.040192278107753e-06
1772743620.4794505,0.5698717431542295,0.0008311626910003969,0.9999999999999996,0.09010177014867188,0.7767805133691069,1.0,1.0,0.9999999999999996,0.0,0.0,0.0,0.08933140053522669,9.153427204040429e-07,1.8401847545950497e-210,0.0733333333333333,0.0073211129987489545,0.011554185468571312,0.036605564993744774,0.008037394859533862,0.9999885424616941,0.0005693776430655464,0.11265747587257735,0.0,0.0,2.720302291967863e-286,0.0,0.006904750464060414,0.0,0.4790977135203243,1.2003849613062015e-06,1.6452085971010175e-53,3.355667652155346e-286,2.720302291967863e-286,8.037478710942044e-06
1772743620.5156229,0.5652793216441514,0.0008218035737102921,0.9999999999999996,0.08888136519755789,0.7763526041617381,1.0,1.0,0.9999999999999996,0.0,0.0,0.0,0.08945943100228855,6.4073990428283e-07,1.2881293282165347e-210,0.0733333333333333,0.0073898115873316916,0.011415181728759733,0.03694905793665846,0.00764724223710226,0.9999900430599162,0.0005622921796327387,0.11265747587257795,0.0,0.0,1.904211604377504e-286,0.0,0.00692106529653172,0.0,0.4790977135203243,8.40269472914341e-07,1.1516460179707121e-53,2.348967356508742e-286,1.904211604377504e-286,8.034453395004637e-06
1772743620.5475993,0.5558726264344622,0.0008150171641920092,0.9999999999999996,0.08774572595918793,0.7740218882856008,1.0,1.0,0.9999999999999996,0.0,0.0,0.0,0.08959496360219853,4.4851793299798095e-07,9.016905297515743e-211,0.0733333333333333,0.00796509248758578,0.012369943264687168,0.0398254624379289,0.0075911744848240195,0.9999891832475958,0.0005555339409806078,0.11265747587257836,0.0,0.0,1.3329481230642528e-286,0.0,0.006937283898143791,0.0,0.4790977135203243,5.881886310400386e-07,8.061522125794984e-54,1.6442771495561194e-286,1.3329481230642528e-286,8.032827956247572e-06
1772743620.5795844,0.5541507004176928,0.0008088642349214067,0.9999999999999996,0.08786885674272174,0.7720422447935149,1.0,1.0,0.9999999999999996,0.0,0.0,0.0,0.08973076354556489,3.139625530985866e-07,6.3118337082610195e-211,0.0733333333333333,0.009649357498370096,0.014316244821775173,0.048246787491850476,0.00837838908368496,0.9999900051540288,0.0005491324488830259,0.11265747587257866,0.0,0.0,9.330636861449769e-287,0.0,0.006953387222491798,0.0,0.4790977135203243,4.11732041728027e-07,5.643065488056488e-54,1.1509940046892835e-286,9.330636861449769e-287,8.030582213564819e-06
1772743620.611447,0.554708270382102,0.0008033880764878687,0.9999999999999996,0.08791255270592817,0.7651642447553189,1.0,1.0,0.9999999999999996,0.0,0.0,0.0,0.08986629627243194,2.1977378716901062e-07,4.418283595782713e-211,0.0733333333333333,0.010923297824973716,0.014832946787380577,0.05461648912486858,0.008735536986186634,0.9999919721741142,0.0005432079938354035,0.11265747587257885,0.0,0.0,6.531445803014838e-287,0.0,0.006972276506112283,0.0,0.4790977135203243,2.882124292096189e-07,3.950145841639541e-54,8.056958032824985e-287,6.531445803014838e-287,8.027901106794072e-06
1772743620.643422,0.5507893811668089,0.000797686615614494,0.9999999999999996,0.08645820096796605,0.7618644277605711,1.0,1.0,0.9999999999999996,0.0,0.0,0.0,0.09000077249972388,1.538416510183074e-07,3.092798517047899e-211,0.0733333333333333,0.01087232319443899,0.014177832488161249,0.05436161597219495,0.00824288559846221,0.9999937900862276,0.000537262802498597,0.11265747587257899,0.0,0.0,4.572012062110386e-287,0.0,0.00699335377074612,0.0,0.4790977135203243,2.017487004467332e-07,2.765102089147679e-54,5.639870622977489e-287,4.572012062110386e-287,8.024949117688898e-06
