timestamp,S_AU12Mean,S_AU12Variance,S_AU12ActivationFrequency,S_AU15MeanAmplitude,S_AU4MeanActivation,S_AU4DurationRatio,S_AU1AU2PeakIntensity,S_AU20ActivationRate,S_LipCompressionFrequency,S_BlinkRate,S_BlinkClusterDensity,S_BaselineEyeOpenness,S_GazeShiftFrequency,S_EyeContactRatio,S_DownwardGazeFrequency,S_MeanHeadVelocity,S_HeadVelocityPeak,S_HeadMotionEnergy,S_LandmarkDisplacementMean,S_PostureRigidityIndex,S_OverallAUVariance,S_FacialEmotionalRange,S_FacialTransitionFrequency,S_NearZeroAUActivationRatio,S_MotionEnergyFloorScore,S_GestureFrequency,S_MicroMotionEnergy,S_ShoulderElevationIndex,S_ResponseLatencyMean,S_SpeechOnsetDelay,S_NodOnsetLatency,S_PauseDurationMean,S_ExtendedSilenceRatio,S_ReactionTimeInstabilityIndex
1772781187.1708603,0.2261719,0.9974033,0.5,0.1358233,0.9210778,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1839239,0.3125968,0.189761,0.433086,0.8886367,0.8962928,0.8886367,0.9028915,0.539073,0.9504802,0.9427138,0.5,0.5,0.3449771,0.4878153,0.6209651,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5091298
1772781187.2120533,0.2197386,0.9974754,0.5,0.0992488,0.8602344,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1831312,0.3153273,0.189761,0.4369614,0.9468449,0.9434855,0.9468449,0.9542177,0.5390783,0.9406539,0.9384114,0.5,0.5,0.3449771,0.4882193,0.6236841,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5085043
1772781187.260084,0.1155042,0.9976026,0.5,0.0461061,0.7945529,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1826582,0.3183342,0.189761,0.4408446,0.9543538,0.9476219,0.9543538,0.9599132,0.5390977,0.9292527,0.9345593,0.5,0.5,0.3449771,0.488502,0.6273054,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5078882
1772781187.3016026,0.0916899,0.9977374,0.5,0.0393288,0.6343552,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1823341,0.3215417,0.1897609,0.4447352,0.9659947,0.9601318,0.9659947,0.9689185,0.5390943,0.9165805,0.9367796,0.5,0.5,0.3449771,0.4887,0.631681,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5075915
1772781187.3444033,0.1066769,0.9978509,0.5,0.0412478,0.4336077,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1820884,0.3248967,0.1897609,0.4486327,0.9760892,0.9729429,0.9760892,0.9764083,0.5390919,0.902499,0.9410345,0.5,0.5,0.3449771,0.494485,0.6367527,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5072127
1772781187.3857737,0.0789117,0.9979843,0.5,0.0276629,0.2305074,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1819271,0.3283616,0.1897609,0.4525365,0.9891753,0.9864051,0.9891753,0.9894069,0.5390976,0.8864058,0.9415884,0.5,0.5,0.3449771,0.5041835,0.6424832,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5068113
1772781187.43615,0.0723095,0.9981202,0.5,0.0195851,0.3375853,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1817601,0.3319099,0.1897609,0.4564462,0.9940496,0.9922108,0.9940496,0.9940863,0.5391018,0.868814,0.9435968,0.5,0.5,0.3449771,0.5166147,0.6490407,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5063566
1772781187.4781013,0.0831519,0.9982429,0.5,0.0201552,0.355839,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1817259,0.335523,0.1897609,0.4603614,0.9925632,0.9916331,0.9925632,0.9917259,0.5390696,0.84955,0.9458803,0.5,0.5,0.3449771,0.5309355,0.6564601,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5063579
1772781187.518933,0.1083471,0.9983443,0.5,0.0326243,0.6778262,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1815905,0.3391874,0.1897609,0.4642814,0.9934416,0.9912663,0.9934416,0.9929073,0.5390927,0.8279487,0.9452733,0.5,0.5,0.3449771,0.546536,0.6643217,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5061983
1772781187.5611637,0.1157427,0.9984369,0.5,0.0292832,0.661287,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1813163,0.3428937,0.1897609,0.4682058,0.9943844,0.9915222,0.9943844,0.9941572,0.5391077,0.8040117,0.9435093,0.5,0.5,0.3449771,0.5629702,0.6725506,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5059028
1772781187.6041443,0.1566868,0.9985115,0.5,0.0488041,0.6553703,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1807968,0.3466352,0.1897609,0.4709553,0.990804,0.9864296,0.990804,0.9904579,0.5391119,0.7778125,0.9399646,0.5,0.5,0.3449771,0.5799082,0.6810974,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5055434
1772781187.6444986,0.2544859,0.9985647,0.5,0.0860254,0.7116095,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1800701,0.3504069,0.1904091,0.472881,0.9846181,0.9778693,0.9846181,0.9843546,0.5391179,0.750051,0.9373605,0.5,0.5,0.3449771,0.597103,0.6895461,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5051619
1772781187.683537,0.326726,0.9986052,0.5,0.1360489,0.8162429,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1790438,0.3530582,0.1915147,0.4742295,0.9683809,0.9565084,0.9683809,0.9685182,0.5391274,0.719627,0.9354753,0.5,0.5,0.3449771,0.6143678,0.6975796,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5047049
1772781187.7205327,0.3194027,0.9986441,0.5,0.1391392,0.8109128,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1780274,0.3549196,0.1929463,0.4751737,0.914438,0.8951909,0.914438,0.9146187,0.5391335,0.6859424,0.9304023,0.5,0.5,0.3449771,0.6315595,0.704867,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5041848
1772781187.7602332,0.2016004,0.9987054,0.5,0.0650257,0.8469694,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1769172,0.3573767,0.1946123,0.4758347,0.8694919,0.8550083,0.8694919,0.8756646,0.5391286,0.6505851,0.9226325,0.5,0.5,0.3449771,0.6434007,0.710991,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5036296
1772781187.7981467,0.1931418,0.9987631,0.5,0.046753,0.8075745,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1758878,0.3591011,0.1964486,0.4774777,0.8693922,0.8655485,0.8693922,0.8787676,0.5391144,0.6153981,0.91078,0.5,0.5,0.3449771,0.6515875,0.7160087,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5030454
1772781187.8355074,0.1760182,0.9988181,0.5,0.0464631,0.7059834,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1750636,0.3603104,0.1984105,0.4798087,0.8707935,0.858634,0.8707935,0.8776465,0.539124,0.5819391,0.9015324,0.5,0.5,0.3449771,0.6572658,0.720249,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5024385
1772781187.8737288,0.167129,0.9988705,0.5,0.0417965,0.5802094,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1741141,0.361158,0.2004665,0.4826222,0.8734672,0.8549864,0.8734672,0.8786602,0.5391316,0.5497038,0.8903627,0.5,0.5,0.3449771,0.6612141,0.7239213,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5018201
1772781187.9116292,0.15509,0.9989221,0.5,0.0356415,0.4715873,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1731875,0.3617518,0.2019151,0.4857741,0.877129,0.8611748,0.877129,0.8790039,0.5391335,0.5192835,0.8771854,0.5,0.5,0.3449771,0.6639646,0.7272176,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.501189
1772781187.9486248,0.1589456,0.9989702,0.5,0.030882,0.618354,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1722231,0.3633276,0.2029338,0.4891632,0.8846878,0.8735435,0.8846878,0.8824041,0.5391303,0.4911345,0.8578638,0.5,0.5,0.3449771,0.6658834,0.730298,0.5,0.9999546,0.5,0.9999546,0.0543207,0.3449771,0.5005507
1772781187.9867945,0.1622056,0.9990133,0.5,0.0320857,0.7594182,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1712142,0.3655955,0.2036492,0.4927186,0.8931119,0.8899625,0.8931119,0.8852063,0.5391176,0.4660299,0.8279147,0.5,0.5,0.3449771,0.6672233,0.7332104,0.5,0.9999546,0.5,0.9999238,0.0543207,0.3449771,0.4999155
1772781188.0265214,0.2029366,0.9990457,0.5,0.050613,0.8351928,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1701135,0.3683532,0.203468,0.4963905,0.9206577,0.9140617,0.9206577,0.9131292,0.5391141,0.4448276,0.7902145,0.5,0.5,0.3449771,0.6681597,0.7359966,0.5,0.9999546,0.5,0.999808,0.0543207,0.3449771,0.4992741
1772781188.062322,0.2410144,0.9990693,0.5,0.0696863,0.8906803,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1690138,0.3714595,0.20266,0.5001438,0.9342922,0.9250365,0.9342922,0.929017,0.5391226,0.4272647,0.7503043,0.5,0.5,0.3449771,0.6688143,0.7388762,0.5,0.9999546,0.5,0.999517,0.0543207,0.3449771,0.4986329
1772781188.0953476,0.2568379,0.999091,0.5,0.0763627,0.8737958,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1680058,0.3736403,0.2014179,0.5039539,0.9151398,0.9029204,0.9151398,0.9087386,0.5391303,0.4127161,0.7012493,0.5,0.5,0.3449771,0.6692722,0.7419297,0.5,0.9999546,0.5,0.9987934,0.0543207,0.3449771,0.4980163
1772781188.122627,0.2728779,0.9991093,0.5,0.0800994,0.9137085,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1670421,0.3751699,0.1998777,0.5078031,0.8799766,0.8622916,0.8799766,0.873138,0.5391361,0.4011102,0.6633632,0.5,0.5,0.3449771,0.6695925,0.7448415,0.5,0.9999546,0.5,0.9969088,0.0543207,0.3449771,0.4975021
1772781188.1519392,0.2065303,0.9991352,0.5,0.0572933,0.8630653,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1661552,0.3762422,0.1981351,0.5116793,0.8219844,0.8121156,0.8219844,0.8202259,0.5391287,0.3915008,0.6274378,0.5,0.5,0.3449771,0.6698166,0.7473677,0.5,0.9999546,0.5,0.9921677,0.0543207,0.3449771,0.4974148
1772781188.1793091,0.1671848,0.9991677,0.5,0.0459331,0.8837605,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1652411,0.3769934,0.1962572,0.5155734,0.7447929,0.7448853,0.7447929,0.7481275,0.5391238,0.3837538,0.5922136,0.5,0.5,0.3449771,0.6699734,0.7494604,0.5,0.9999546,0.5191549,0.9800057,0.0543207,0.3449771,0.4974716
1772781188.2070453,0.2033951,0.999195,0.5,0.0511452,0.849827,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1643328,0.3775197,0.1942909,0.5194793,0.6708435,0.6745296,0.6708435,0.6717638,0.5391291,0.3783789,0.5669561,0.5,0.5,0.3449771,0.6700832,0.7509916,0.5,0.9999546,0.5319363,0.9509682,0.0543207,0.3449771,0.4977736
1772781188.2356613,0.1966615,0.9992201,0.5,0.0467133,0.8179116,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1633455,0.3778882,0.1922687,0.5233923,0.5994249,0.6038982,0.5994249,0.5932004,0.5391363,0.3744709,0.5490581,0.5,0.5,0.3449771,0.67016,0.751812,0.5,0.9999546,0.5401657,0.8818777,0.0543207,0.3449771,0.498216
1772781188.262846,0.2141657,0.9992429,0.5,0.0538927,0.7815619,0.5,0.5472946,0.5,0.5,0.5,0.5,0.16247,0.3781463,0.1902134,0.5273091,0.5409964,0.5447782,0.5409964,0.5304242,0.5391414,0.3716761,0.5364507,0.5,0.5,0.3449771,0.6702138,0.7518585,0.5,0.9999546,0.5452635,0.7417536,0.0543207,0.3449771,0.4986889
1772781188.2898412,0.2051805,0.9992663,0.5,0.0621687,0.8123677,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1616125,0.378327,0.1881409,0.5312272,0.5089723,0.5124847,0.5089723,0.4952852,0.5391449,0.3696735,0.5275967,0.5,0.5,0.3449771,0.6702515,0.7510823,0.5,0.9999546,0.5477925,0.5954258,0.0543207,0.3449771,0.4992926
1772781188.315438,0.2126679,0.9992873,0.5,0.0728947,0.7974239,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1608978,0.3784535,0.1860621,0.5351447,0.470347,0.4720653,0.470347,0.4519778,0.5391474,0.3684352,0.5213882,0.5,0.5,0.3449771,0.6652657,0.7487541,0.5,0.9999546,0.548741,0.4796061,0.0543207,0.3449771,0.500002
1772781188.3423982,0.2051636,0.9993059,0.5,0.0761391,0.8556121,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1602058,0.378542,0.1839846,0.5390601,0.4707811,0.4737033,0.4707811,0.4597465,0.5391483,0.3677198,0.5170383,0.5,0.5,0.3449771,0.6566782,0.74466,0.5,0.9999546,0.5486831,0.3990884,0.0543207,0.3449771,0.5009078
1772781188.3679905,0.2115138,0.9993227,0.5,0.070996,0.8853745,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1594864,0.378604,0.1819138,0.5429723,0.5124022,0.5204093,0.5124022,0.50863,0.5391436,0.3673101,0.5139917,0.5,0.5,0.3449771,0.645452,0.7398562,0.5,0.9999546,0.5479878,0.3455595,0.0543207,0.3449771,0.5018279
1772781188.3946476,0.2492218,0.9993326,0.5,0.0844061,0.9299328,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1586802,0.3786474,0.1798532,0.5468804,0.5162737,0.5337279,0.5162737,0.5196089,0.5391398,0.3668775,0.5118585,0.5,0.5,0.3449771,0.6374963,0.7351873,0.5,0.9999546,0.5468737,0.310205,0.0543207,0.3449771,0.5028772
1772781188.4206142,0.3043343,0.9993404,0.5,0.0996129,0.9046388,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1580118,0.3786778,0.1778054,0.5507834,0.5169289,0.5296236,0.5169289,0.533688,0.5391421,0.3665338,0.510365,0.5,0.5,0.3449771,0.6318818,0.7310353,0.5,0.9999546,0.5454645,0.9999546,0.0543207,0.3449771,0.5039196
1772781188.4479399,0.4296515,0.9993452,0.5,0.1639626,0.9709471,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1574208,0.3786991,0.175772,0.5546808,0.5323306,0.5521462,0.5323306,0.5495725,0.5391325,0.3661979,0.5093194,0.5,0.5,0.3449771,0.6279302,0.7275811,0.5,0.9999546,0.5438293,0.9999546,0.0543207,0.3449771,0.5050158
1772781188.4738166,0.4317201,0.9993461,0.5,0.1837442,0.9564492,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1568628,0.378714,0.1737544,0.5585718,0.5685254,0.5758399,0.5685254,0.5776581,0.5391363,0.3660176,0.5085874,0.5,0.5,0.3449771,0.6251539,0.7247625,0.5,0.9999546,0.5420651,0.9999546,0.0543207,0.3449771,0.5060318
1772781188.5082169,0.4817417,0.9993434,0.5,0.2027532,0.946651,0.5,0.5472946,0.5,0.5,0.5,0.5,0.1562783,0.3787244,0.1717533,0.5624559,0.6078921,0.6054833,0.6078921,0.6185194,0.5391374,0.3659444,0.508075,0.5,0.5,0.3449771,0.6232055,0.7224366,0.5,0.9999546,0.5400692,0.9999546,0.0543207,0.3449771,0.5071138
