1770257085.33,0.817,1.001,1.014,0.443,0.5,0.058
1770257085.62,0.877,0.528,1.003,0.052,0.5,0.058
1770257085.82,0.666,1.114,1.029,1.0,0.5,0.058
1770257900.59,1.06,1.744,0.83,0.0,0.5,0.063
1770257900.89,1.099,0.083,1.144,0.189,0.5,0.062
1770257901.19,0.985,0.397,1.215,0.731,0.5,0.06
1770257901.49,0.531,0.541,1.188,1.0,0.5,0.061
1770257901.69,0.733,0.061,1.216,0.485,0.5,0.062
1770257901.99,1.005,0.6,1.233,0.0,0.5,0.063
1770257902.19,0.982,0.207,1.299,0.0,0.5,0.062
1770257902.49,0.926,0.235,1.351,0.568,0.5,0.059
1770257902.69,0.82,0.243,1.34,1.0,0.5,0.057
1770257902.92,0.938,0.461,1.328,0.263,0.5,0.057
1770257903.19,0.887,0.209,1.319,0.0,0.5,0.057
1770257903.39,0.941,0.887,1.371,0.0,0.5,0.058
1770257903.59,0.922,0.967,1.361,0.142,0.5,0.059
1770257903.89,0.883,0.19,1.371,0.805,0.5,0.06
1770257904.1,0.844,0.249,1.385,0.635,0.5,0.06
1770257904.39,0.958,0.318,1.384,0.22,0.5,0.061
1770257904.6,0.911,0.235,1.388,0.153,0.5,0.061
1770257904.9,0.945,0.204,1.371,0.099,0.5,0.062
1770257905.1,0.938,0.043,1.422,0.0,0.5,0.062
1770257905.4,0.921,0.041,1.381,0.361,0.5,0.062
1770257905.62,0.94,0.229,1.367,0.0,0.5,0.062
1770257905.89,0.981,0.406,1.377,0.205,0.5,0.062
1770257906.09,0.933,0.45,1.381,0.0,0.5,0.062
1770257906.39,0.864,0.387,1.386,1.0,0.5,0.063
1770257906.59,0.89,3.832,1.418,0.702,0.5,0.063
1770257906.89,0.896,18.868,1.482,0.141,0.5,0.064
1770257907.09,0.895,0.88,1.455,0.233,0.5,0.065
1770257907.39,1.001,9.493,1.491,0.0,0.5,0.066
1770257907.59,0.767,3.376,1.42,0.695,0.5,0.068
1770257907.89,0.857,12.994,1.453,0.364,0.5,0.07
1770257908.09,0.827,11.863,1.441,0.287,0.5,0.072
1770257908.39,0.781,3.139,1.383,0.267,0.5,0.074
1770257908.59,0.837,9.572,1.383,0.0,0.5,0.072
1770257908.79,1.007,19.042,1.413,0.0,0.5,0.072
1770257909.09,0.875,17.159,1.427,0.0,0.5,0.069
1770257909.29,0.88,23.285,1.434,0.109,0.5,0.067
1770257909.49,0.826,11.85,1.375,0.79,0.5,0.066
1770257909.79,0.895,12.174,1.346,0.0,0.5,0.065
1770257909.99,0.969,6.579,1.334,0.0,0.5,0.064
1770257910.19,1.027,3.166,1.342,0.0,0.5,0.064
1770257910.49,1.031,0.311,1.304,0.251,0.5,0.063
1770257910.69,0.967,0.234,1.279,0.257,0.5,0.062
1770257910.89,0.892,0.1,1.295,0.897,0.5,0.061
1770257911.19,0.941,0.139,1.257,0.333,0.5,0.06
1770257911.49,0.781,0.683,1.302,1.0,0.5,0.059
1770257911.69,0.813,0.439,1.334,0.518,0.5,0.059
1770257911.99,0.847,0.57,1.237,0.567,0.5,0.058
1770257912.2,0.81,0.402,1.266,0.685,0.5,0.058
1770257912.49,0.853,0.122,1.254,0.079,0.5,0.057
1770257912.79,0.916,0.09,1.24,0.0,0.5,0.055
1770257912.99,0.869,0.479,1.205,0.0,0.5,0.055
1770257913.19,0.803,0.121,1.205,0.425,0.5,0.055
1770257913.39,0.875,0.502,1.237,0.0,0.5,0.054
1770257913.69,0.867,0.494,1.232,0.177,0.5,0.054
1770257913.89,0.83,0.346,1.222,0.68,0.5,0.054
1770257914.09,0.932,0.155,1.206,0.048,0.5,0.054
1770257914.39,0.929,0.375,1.229,0.0,0.5,0.054
1770257914.59,0.902,0.442,1.209,0.275,0.5,0.055
1770257914.79,0.869,0.271,1.204,0.617,0.5,0.055
1770257915.09,0.936,0.17,1.21,0.0,0.5,0.055
1770257915.29,0.887,0.153,1.197,0.019,0.5,0.054
1770257915.49,0.926,0.451,1.189,0.097,0.5,0.053
1770257915.69,0.9,0.382,1.232,0.22,0.5,0.053
1770257915.99,0.909,0.39,1.243,0.0,0.5,0.054
1770257916.19,0.911,0.426,1.256,0.708,0.5,0.054
1770257916.4,0.826,0.234,1.248,1.0,0.5,0.055
1770257916.69,0.926,0.148,1.23,0.0,0.5,0.054
1770257916.89,1.017,0.104,1.207,0.0,0.5,0.054
1770257917.09,0.923,0.436,1.241,0.0,0.5,0.053
1770257917.33,0.923,0.294,1.233,0.247,0.5,0.053
1770257917.59,0.954,0.275,1.225,0.0,0.5,0.053
1770257917.79,0.96,0.563,1.232,0.0,0.5,0.052
